COLLECTIBLE,SET,NAME,FACTION,ELITE,TEXT,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,TYPE,ID,MECHANICS,PLAYERCLASS,RACE,INPLAYTEXT,DURABILITY
True,Classic,博學行者阿洲,Neutral,True,每當有玩家施放法術，對手便獲得一張同樣的法術,Mark Zug,Legendary,0,2,4,博學行者阿洲記錄並分享潘達利亞大陸的故事，但是他最喜歡的故事其實是龍捲風系列的肥皂劇。,Minion,EX1_100,,,,,
True,Classic,卡巴暗影牧師,Neutral,,<b>戰吼:</b>控制一個攻擊力在2點以下的敵方手下,Chippy,Epic,4,6,5,你永遠不知道誰在偷偷為卡巴做事...,Minion,EX1_091,Battlecry,Priest,,,
True,Classic,原生恐狼,Neutral,,兩側的手下+1攻擊力,John Dickenson,Common,2,2,2,他們說原生的恐狼比較大隻。我想，他們咬人應該也會比較痛。要不然你去讓牠咬咬看?,Minion,EX1_162,AdjacentBuff|Aura,,Beast,,
True,Classic,叉狀閃電,Neutral,,對2個隨機敵方手下造成$2點傷害。<b>超載:</b>(2),Ralph Horsley,Common,,1,,再收集到匙狀閃電跟刀狀閃電，你就擁有整套餐具組了。,Spell,EX1_251,,Shaman,,,
True,Classic,受傷的大劍師,Horde,,<b>戰吼:</b>對他自己造成4點傷害,Samwise,Rare,4,3,7,他宣稱那是在戰爭中受到的舊傷，但我們認為那只是刮鬍子時不小心刮傷的。,Minion,CS2_181,Battlecry,,,,
,Classic,受損的魔像,Neutral,,,,Common,2,1,1,,Minion,skele21,,,Mech,,
True,Classic,叢林豹,Horde,,<b>潛行</b>,Jaemin Kim,Common,4,3,2,荊棘谷是個觀光的好去處，但你不會想要住在那裡。,Minion,EX1_017,Stealth,,Beast,,
,Classic,古老的教誨,,,抽2張牌,,,,,,,Spell,NEW1_008a,,Druid,,,
,Classic,古老的秘密,,,恢復5點生命值,,,,,,,Spell,NEW1_008b,,Druid,,,
,Classic,召喚一隻獵豹,Neutral,,召喚一隻3/2獵豹,,,,,,,Spell,EX1_160a,,Druid,,,
True,Classic,召喚傳送門,Neutral,,你的手下消耗減少(2)點，但不會低於(1)點,Tyler Walpole,Common,0,4,4,不會低於1點!別亂想了!,Minion,EX1_315,Aura,Warlock,,,
,Classic,吞噬,,,屬性提高,,,,,,,Enchantment,EX1_304e,,Warlock,,,
,Classic,命令之吼,,,你的手下們在本回合內生命值不會低於1點,,,,,,,Enchantment,NEW1_036e2,OneTurnEffect,Warrior,,,
,Classic,命令之吼,,,本回合內生命值不會低於1點,,,,,,,Enchantment,NEW1_036e,OneTurnEffect,Warrior,,,
True,Classic,命令之吼,,,你手下的生命值在本回合內不會低於1點。抽一張牌,Wayne Reynolds,Rare,,2,,「吼!吼!再大聲一點!」-對菜鳥戰士的建言,Spell,NEW1_036,,Warrior,,,
True,Classic,哈里遜·瓊斯,Neutral,True,<b>戰吼:</b>摧毀對手的武器並抽相當於其耐久度的牌,Matt Dixon,Legendary,5,5,4,「那件文物應該被放到探險者大廳!」,Minion,EX1_558,Battlecry,,,,
True,Classic,嚴厲的士官,Alliance,,<b>戰吼:</b>本回合賦予一個手下+2攻擊力,Luca Zontini,Common,2,1,1,把我加進你的套牌裡，蠢蛋!,Minion,CS2_188,Battlecry,,,,
True,Classic,土元素,Neutral,,<b>嘲諷</b>。<b>超載:</b>(3),Dan Scott,Epic,7,5,8,剪刀跟布都不該贏石頭。,Minion,EX1_250,Taunt,Shaman,,,
,Classic,土狼,,,,Andrew Robinson,Rare,2,2,2,,Minion,EX1_534t,,Hunter,Beast,,
,Classic,埃辛諾斯火焰,,,,,,2,1,1,,Minion,EX1_614t,,,,,
True,Classic,塞納留斯,Neutral,True,<b>二選一:</b>使你其他的手下+2/+2，或召喚兩個有<b>嘲諷</b>的2/2樹人,Alex Horley Orlandelli,Legendary,5,9,8,是的，他是個半神。不，他不需要穿上衣。,Minion,EX1_573,,Druid,,,
True,Classic,塵魔,Neutral,,<b>風怒</b>。<b>超載:</b>(2),Raymond Swanland,Common,3,1,1,西部荒野到處都是塵魔。還有禿鷲。還有瘋狂的魔像。還有海盜。怎麼會有人想住在這種地方?,Minion,EX1_243,Windfury,Shaman,,,
True,Classic,墮滅之刃,Neutral,,<b>戰吼:</b>造成1點傷害。<b>連擊:</b>改為造成2點傷害,Daren Bader,Rare,2,3,,墮滅之刃是拉格納羅斯把薩弗拉斯放在拍賣場時拿來備用的武器。,Weapon,EX1_133,Battlecry|Combo,Rogue,,,2
True,Classic,壓倒性的力量,Neutral,,賦予一個友方手下+4/+4到回合結束。然後它會悲慘地死去,Tom Baxa,Common,,1,,我們根本無法描述這種死亡有多悲慘。像瘋狂一般的慘啊!也許比那樣還糟。反正別這麼做就對了。,Spell,EX1_316,,Warlock,,,
,Classic,壓倒性的力量,Neutral,,這手下擁有+4/+4，但回合結束時會悲慘地死去,,,,,,,Enchantment,EX1_316e,,Warlock,,,
,Classic,夢境,,,使一個手下返回擁有者的手上,,,,0,,,Spell,DREAM_04,,Dream,,,
,Classic,夢魘,,,這個手下擁有+5/+5，但很快就會被摧毀,,,,,,,Enchantment,DREAM_05e,,,,,
,Classic,夢魘,,,賦予一個手下+5/+5。在你下回合開始的時候，摧毀它,,,,0,,,Spell,DREAM_05,,Dream,,,
True,Classic,大地震擊,Neutral,,<b>沉默</b>一個手下，然後對它造成$1點傷害,Kevin Chin,Common,,1,,大地震擊並不會引發毀滅性的大地震動。請安心使用。,Spell,EX1_245,Silence,Shaman,,,
True,Classic,大法師安東尼達斯,Neutral,True,每當你施放法術，就放一張「火球術」到你的手牌中,Wayne Reynolds,Legendary,5,7,7,安東尼達斯生前是祈倫托的大魔導師，也是珍娜的導師。這比果凍甜甜圈的大魔導師高尚多了。,Minion,EX1_559,,Mage,,,
True,Classic,奔竄的科多獸,,,<b>戰吼:</b>隨機摧毀一個攻擊力在2點以下的敵方手下,Daren Bader,Rare,3,5,5,這隻科多獸十分巨大，大到他可以<b>獨自</b>達成奔竄。,Minion,NEW1_041,Battlecry,,Beast,,
True,Classic,奧多爾保安官,Neutral,,<b>戰吼:</b>使一個敵方手下的攻擊力降為1點,Dany Orizio,Rare,3,3,3,奧多爾最討厭兩個東西:占卜者和時尚爵士樂。,Minion,EX1_382,Battlecry,Paladin,,,
True,Classic,奧奇奈靈魂牧師,Neutral,,你原本的治療卡片和能力改為造成傷害,Doug Alexander,Rare,3,4,5,奧奇奈知道末日即將來臨，但是他們不知道何時會發生。,Minion,EX1_591,Aura,Priest,,,
True,Classic,奧妮克希亞,Neutral,True,<b>戰吼:</b>召喚1/1幼龍直到你戰場的位置全滿,Dany Orizio,Legendary,8,9,8,奧妮克希亞化身為卡特拉娜·普瑞斯托女士，暗中操控暴風城朝政好長一段時間。只是，她巨大的翅膀跟鱗片應該會很容易洩漏她的真實身分才對的...,Minion,EX1_562,Battlecry,,Dragon,,
,Classic,好利!,,,由惡毒的鐵匠獲得+2攻擊力,,,,,,,Enchantment,CS2_221e,,,,,
,Classic,姆嘎哈歐,,,+2生命值,,,,,,,Enchantment,EX1_103e,,,,,
,Classic,姆嘎啦葛歐!,,,魚人隊長賦予了+2/+1,,,,,,,Enchantment,EX1_507e,,,,,
,Classic,寒冰屏障,,,你的英雄在本回合<b>免疫</b>,,,,,,,Enchantment,EX1_295o,OneTurnEffect,Mage,,,
True,Classic,寒冰屏障,Neutral,,<b>秘密:</b>抵銷你英雄受到的致命傷，並在該回合內<b>免疫</b>,Carl Frank,Epic,,3,,為什麼老師叫我被追殺時要「開冰箱」?,Spell,EX1_295,Secret,Mage,,,
True,Classic,寒冰護體,Neutral,,<b>秘密:</b>當你的英雄被攻擊時，立即獲得8點護甲值,Alex Garner,Common,,3,,這是第1級。第2級是巧克力牛奶護體。,Spell,EX1_289,Secret,Mage,,,
,Classic,實驗!,,,攻擊力和生命值被瘋狂的鍊金師所對調,,,,,,,Enchantment,EX1_059e,,,,,
,Classic,尊師的教導,Neutral,,召喚兩個有<b>嘲諷</b>的2/2樹人,,,,,,,Spell,EX1_573b,,Druid,,,
,Classic,小鬼,Neutral,,,,Rare,1,1,1,,Minion,EX1_598,,,Demon,,
True,Classic,小鬼召喚師,Neutral,,你的回合結束時，使其受到1點傷害並召喚一個1/1小鬼,Mark Gibbons,Rare,1,3,5,如果那些小鬼不會一直咬她，她應該會更喜歡這份工作。,Minion,EX1_597,,,,,
True,Classic,小龍鷹,Horde,,<b>風怒</b>,Greg Hildebrandt,Common,1,1,1,冠軍牛頭球隊「龍鷹隊」就是以牠們做為吉祥物的。,Minion,CS2_169,Windfury,,Beast,,
True,Classic,山嶺巨人,Neutral,,你手上的其他每一張牌使消耗減少(1)點,Samwise,Epic,8,12,8,他媽媽跟他說，他只是骨架大而已。,Minion,EX1_105,,,,,
True,Classic,巫士的學徒,Neutral,,你的法術消耗減少(1)點,Alex Horley Orlandelli,Common,3,2,2,學徒非常好使喚。「幫我做些法力麵包!和一杯咖啡!不然乾脆做杯法力咖啡好了!」,Minion,EX1_608,Aura,Mage,,,
,Classic,已升級,,,+1攻擊力及+1耐久度,,,,,,,Enchantment,EX1_409e,,Warrior,,,
,Classic,已升級,,,耐久度提高,,,,,,,Enchantment,EX1_536e,,Hunter,,,
,Classic,布拉勾勾,,,攻擊力提高,,,,,,,Enchantment,EX1_509e,,,,,
True,Classic,希瓦娜斯·風行者,,True,<b>死亡之聲:</b>控制一個隨機敵方手下,Glenn Rane,Legendary,5,6,5,希瓦娜斯是被阿薩斯轉化為女妖之王的，但他當初應該殺死她就算了，因為那麼做只是惹毛她而已。,Minion,EX1_016,Deathrattle,,,,
True,Classic,帝王眼鏡蛇,Neutral,,摧毀被帝王眼鏡蛇傷害到的任何手下,Lars Grant-West,Rare,2,3,3,休拉薩盆地有許多可怕的生物。如果你要去度假，記得帶殺蟲劑。最好再穿上鎧甲。,Minion,EX1_170,Poisonous,,Beast,,
True,Classic,年輕的女牧師,,,你的回合結束時，賦予另一個隨機友方手下+1生命值,Vance Kovacs,Rare,2,1,1,她等不及想要學等級2的真言術:韌了。,Minion,EX1_004,,,,,
True,Classic,年輕的釀酒大師,Alliance,,<b>戰吼:</b>使一個友方手下從戰場返回你的手上,Wei Wang,Common,3,2,2,年輕的熱忱無法保證他釀酒的品質。千萬不要喝他釀的魔古黑啤!,Minion,EX1_049,Battlecry,,,,
,Classic,幼龍,Neutral,,,,,1,1,1,,Minion,ds1_whelptoken,,,Dragon,,
,Classic,幼龍,,,,,,1,1,1,,Minion,EX1_116t,,,Dragon,,
True,Classic,幽光,Neutral,,,Malcolm Davis,Common,1,0,1,如果你用足夠數量的幽光攻擊埃雷達爾領主，他就會爆炸。但為什麼會這樣呢?,Minion,CS2_231,,,,,
,Classic,幽靈狼,Neutral,,<b>嘲諷</b>,,Rare,2,2,3,,Minion,EX1_tk11,Taunt,Shaman,,,
,Classic,強化,,,魔法成癮者的攻擊力提高,,,,,,,Enchantment,EX1_055o,OneTurnEffect,,,,
True,Classic,復仇之怒,Neutral,,造成$8點傷害，隨機分給敵方角色,Alex Garner,Epic,,6,,轟!轟!轟!轟!轟!轟!轟!轟!,Spell,EX1_384,ImmuneToSpellpower,Paladin,,,
True,Classic,心理遊戲,Neutral,,從對手的牌堆中複製一個隨機手下並放到戰場,Zoltan & Gabor,Epic,,4,,有時候感覺起來這整個就是場遊戲。,Spell,EX1_345,,Priest,,,
True,Classic,心靈之怒,Neutral,,對一個手下造成$1點傷害。它獲得+2攻擊力,Slawomir Maniak,Common,,0,,他們只是皮笑肉不笑。,Spell,EX1_607,,Warrior,,,
,Classic,心靈之怒,,,+2攻擊力,,,,,,,Enchantment,EX1_607e,,Warrior,,,
,Classic,心靈之火,,,這個手下的攻擊力等於生命值,,,,,,,Enchantment,CS1_129e,,Priest,,,
True,Classic,心靈之火,Neutral,,使一個手下的攻擊力等同於生命值,Steve Prescott,Common,,1,,好主意:強化你的手下。壞主意:在貧瘠之地進行聊天。,Spell,CS1_129,,Priest,,,
,Classic,心靈控制,Neutral,,,,Common,,,,,Enchantment,EX1_tk31,Summoned,Priest,,,
,Classic,心靈碎裂,,,<b>英雄能力</b>
造成3點傷害,,,,2,,,Hero Power,EX1_625t2,,Priest,,,
,Classic,心靈鑽刺,,,<b>英雄能力</b>
造成2點傷害,,,,2,,,Hero Power,EX1_625t,,Priest,,,
True,Classic,思想竊取,Neutral,,從你對手的牌堆中複製2張牌，並放到你的手牌裡,Alex Garner,Common,,3,,「你對獸人施放思想竊取會偷到什麼?什麼都偷不到!」-牛頭人笑話,Spell,EX1_339,,Priest,,,
True,Classic,惡毒的鐵匠,Horde,,<b>狂怒:</b>使你的武器+2攻擊力,Justin Sweet,Common,4,5,6,她願意幫你打造一把好劍，但是你必須先收集好5塊魔鋼錠、3顆大地微粒，以及她上一位顧客的頭皮。,Minion,CS2_221,Enrage,,,,
True,Classic,惡魔守衛,Neutral,,<b>嘲諷</b>。<b>戰吼:</b>摧毀一顆你的法力水晶,John Polidora,Rare,3,3,5,是的，他會為你而戰。但是他會不太爽。,Minion,EX1_301,Battlecry|Taunt,Warlock,Demon,,
True,Classic,惡魔火焰,Neutral,,對一個手下造成$2點傷害。若目標是友方惡魔，賦予它+2/+2,Ben Wootten,Common,,2,,惡魔火焰跟一般的火一樣，除了它根本拍不熄救命啊啊啊啊!!!,Spell,EX1_596,,Warlock,,,
,Classic,惡魔火焰,Neutral,,這個惡魔獲得+2/+2,,Common,,0,,,Enchantment,EX1_596e,,Warlock,,,
True,Classic,感知惡魔,Neutral,,從你的牌堆中取出2張隨機惡魔並放到你的手牌中,Raven Mimura,Common,,3,,通常惡魔看起來都很顯而易見，不太需要什麼法術來感知他們。,Spell,EX1_317,,Warlock,,,
True,Classic,憎惡體,Neutral,,<b>嘲諷</b>。<b>死亡之聲:</b>對全部角色造成2點傷害,Alex Horley Orlandelli,Rare,4,5,4,憎惡體喜歡新鮮的肉，跟在海灘上散步。,Minion,EX1_097,Deathrattle|Taunt,,,,
True,Classic,憤怒,Neutral,,<b>二選一:</b>對一個手下造成$3點傷害，或造成$1點傷害並抽一張牌,Raymond Swanland,Common,,2,,棘齒城旅店裡的人都公認這張牌太強了，應該要是傳說級才對。,Spell,EX1_154,,Druid,,,
,Classic,憤怒,Neutral,,對一個手下造成$1點傷害。抽一張牌,,,,,,,Spell,EX1_154b,,Druid,,,
,Classic,憤怒,Neutral,,對一個手下造成$3點傷害,,,,,,,Spell,EX1_154a,,Druid,,,
True,Classic,憤怒雞,,,<b>狂怒:</b>+5攻擊力,Mike Sass,Rare,1,1,1,憤怒到極點的禽類是最可怕<b>(或最可笑)</b>的生物。,Minion,EX1_009,Enrage,,Beast,,
,Classic,懺悔,,,生命值下降為1點,,,,,,,Enchantment,EX1_379e,,Paladin,,,
True,Classic,懺悔,Neutral,,<b>秘密:</b>當你的對手打出手下時，將其生命值降為1點,Gonzalo Ordonez,Common,,1,,人們通常在生命結束的前一刻才會懺悔。真有意思。,Spell,EX1_379,Secret,Paladin,,,
True,Classic,戈魯爾,,True,在每個回合結束時獲得+1/+1,Kev Walker,Legendary,7,8,7,他是『弒龍者』戈魯爾。其實他只是想要抱抱那些龍，並沒有真的想...,Minion,NEW1_038,,,,,
True,Classic,戰爭古樹,Neutral,,<b>二選一:</b>
+5攻擊力，或+5生命值及<b>嘲諷</b>,Sean O’Daniels,Epic,5,7,5,年輕的夜精靈喜歡玩「誰能讓戰爭古樹拔根?」被踩扁就算輸。,Minion,EX1_178,,Druid,,,
,Classic,戰鬥斧,,,,,,2,1,,,Weapon,EX1_398t,,Warrior,,,2
True,Classic,戰鬥狂怒,Neutral,,抽牌，數量等於友方受傷角色的總數,Alex Horley Orlandelli,Common,,2,,「你不會喜歡生氣時的我。」,Spell,EX1_392,,Warrior,,,
True,Classic,扭曲虛空,Neutral,,摧毀全部手下,Dave Allsop,Epic,,8,,扭曲虛空是個沒有形體的地方，有著魔法、幻影及被摧毀的手下。,Spell,EX1_312,,Warlock,,,
True,Classic,技工大師歐沃斯巴克,Alliance,True,<b>戰吼:</b>將另一個隨機手下變形為一隻5/5魔暴龍或1/1松鼠,Tom Baxa,Legendary,3,3,3,技工大師歐沃斯巴克差點就因為「鐵爐堡巨松鼠奔竄事件」而失去技工執照。,Minion,EX1_083,Battlecry,,,,
True,Classic,拉文霍德刺客,Alliance,,<b>潛行</b>,Ralph Horsley,Rare,7,7,5,只要寄給他一個包裹，內含10000金幣跟一個名字，他就會幫你搞定。,Minion,CS2_161,Stealth,,,,
,Classic,拔根,Neutral,,+5攻擊力,,,,,,,Spell,EX1_178b,,Druid,,,
,Classic,拔根,,,+5攻擊力,,,,,,,Enchantment,EX1_178be,,Druid,,,
,Classic,挫志咆哮,,,本回合這個手下-3攻擊力,,,,,,,Enchantment,EX1_161o,OneTurnEffect,Druid,,,
True,Classic,掠寶囤積者,Neutral,,<b>死亡之聲:</b>抽一張牌,Jim Nelson,Common,2,2,1,不管怎樣，都一定要骰需求。,Minion,EX1_096,Deathrattle,,,,
True,Classic,提里奧·弗丁,Neutral,True,<b>聖盾術</b>。<b>嘲諷</b>。<b>死亡之聲:</b>裝備5/3的灰燼使者,Brom,Legendary,6,8,6,你沒聽過提里奧·弗丁主題曲的原因是...它根本不存在。,Minion,EX1_383,Deathrattle|Divine Shield|Taunt,Paladin,,,
True,Classic,撕咬,Neutral,,賦予你的英雄4點護甲值及本回合內+4攻擊力,Tom Baxa,Rare,,4,,要咀嚼食物!,Spell,EX1_570,,Druid,,,
,Classic,撕咬,,,本回合+4攻擊力,,,,,,,Enchantment,EX1_570e,OneTurnEffect,,,,
True,Classic,放狗,,,召喚相當於敵方手下數量並有<b>衝鋒</b>的1/1獵犬,Linggar Bramanty,Common,,3,,你每次打這張牌時，記得把牌的名稱大喊出來。,Spell,EX1_538,,Hunter,,,
