MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,PLAYERCLASS,RACE,INPLAYTEXT,ELITE,DURABILITY
,Classic,关门放狗,战场上每有一个敌方随从，便召唤一个1/1并具有<b>冲锋</b>的猎犬。,Spell,EX1_538,True,,Linggar Bramanty,Common,,3,,在你使用这张牌的时候，一定要喊出它的名字。,Hunter,,,,
,Classic,兽群领袖,+1/+1,Enchantment,EX1_160be,,,,,,,,,Druid,,,,
,Classic,兽群领袖,使你所有的随从获得+1/+1。,Spell,EX1_160b,,Neutral,,,,,,,Druid,,,,
Combo,Classic,军情七处特工,<b>连击：</b>造成2点伤害。,Minion,EX1_134,True,Neutral,Chris Moeller,Rare,3,3,3,军情七处的特工们负责暴风城内的所有隐秘行动，包括间谍活动、暗杀以及秘密筹备皇室成员的生日派对。,Rogue,,,,
Secret,Classic,冰冻陷阱,<b>奥秘：</b>当一个敌方随从进攻时，将其移回其拥有者的手中，并使其法力值消耗增加（2）点。,Spell,EX1_611,True,Neutral,Matt Gaser,Common,,2,,“呃，好冷。”——当你中了冰冻陷阱或是听到一个冷笑话时，通常都是这个反应。,Hunter,,,,
Freeze,Classic,冰枪术,使一个角色<b>冻结</b>，如果它已经被<b>冻结</b>，则改为对其造成$4点伤害。,Spell,CS2_031,True,Neutral,Alex Horley Orlandelli,Common,,1,,这个把戏的重点是别把冰枪弄断。否则，“冰渣术”可就没这么厉害了。,Mage,,,,
Freeze,Classic,冰锥术,<b>冻结</b>一个随从和其相邻的随从，并对它们造成$1点伤害。,Spell,EX1_275,True,Neutral,Leo Che,Common,,4,,冰锥术在大约90年前开始流行起来，而在那之前，肯瑞托的法师们习惯用的是冰块术。,Mage,,,,
Battlecry|Freeze,Classic,冰霜元素,<b>战吼：</b><b>冻结</b>一个角色。,Minion,EX1_283,True,Neutral,Dan Scott,Common,5,6,5,当水元素和冰元素相爱到一定程度的时候...,,,,,
,Classic,冷血,+4攻击力。,Enchantment,CS2_073e2,,,,,,,,,Rogue,,,,
,Classic,冷血,+2攻击力。,Enchantment,CS2_073e,,,,,,,,,Rogue,,,,
Combo,Classic,冷血,使一个随从获得+2攻击力；<b>连击：</b>改为获得+4攻击力。,Spell,CS2_073,True,Neutral,Alex Horley Orlandelli,Common,,1,,静如冰封，动如激瀑。,Rogue,,,,
Deathrattle,Classic,凯恩·血蹄,<b>亡语：</b>召唤一个4/5的贝恩·血蹄。,Minion,EX1_110,True,Alliance,Wayne Reynolds,Legendary,4,6,5,凯恩被加尔鲁什杀害了，所以...别把这张牌放在战士的套牌里，这完全说不通。,,,,True,
Taunt,Classic,利爪德鲁伊,<b>嘲讽</b>,Minion,EX1_165t2,,,,Common,4,5,6,,Druid,Beast,,,
,Classic,利爪德鲁伊,<b>抉择</b>：<b>冲锋</b>；或者+2生命值并具有<b>嘲讽</b>。,Minion,EX1_165,True,Neutral,Luca Zontini,Common,4,5,4,是猎豹还是熊？！是猎豹还是熊？！真是艰难的抉择！,Druid,,,,
Charge,Classic,利爪德鲁伊,<b>冲锋</b>,Minion,EX1_165t1,,,,Common,4,5,4,,Druid,Beast,,,
Combo,Classic,刺骨,造成$2点伤害；<b>连击：</b>改为造成$4点伤害。,Spell,EX1_124,True,Neutral,Ariel Olivetti,Common,,2,,对你的对手使用刺骨可麻烦了：从皮革上把血渍去除要花很长时间。,Rogue,,,,
AffectedBySpellPower,Classic,剑刃乱舞,摧毁你的武器，对所有敌方角色造成等同于其攻击力的伤害。,Spell,CS2_233,True,Neutral,Hideaki Takamura,Rare,,2,,“注意看好，并不是把匕首飞快地挥来挥去就行了，比那要复杂得多。”——潜行者训练师，肖,Rogue,,,,
,Classic,力量的代价,该随从获得+4/+4，但是在回合结束时将死于非命。,Enchantment,EX1_316e,,Neutral,,,,,,,Warlock,,,,
,Classic,力量的代价,使一个友方随从获得+4/+4，在回合结束时，将其消灭。,Spell,EX1_316,True,Neutral,Tom Baxa,Common,,1,,别让那个随从知道他死后的样子。那惨象无可言状。,Warlock,,,,
,Classic,加固,生命值增加。,Enchantment,NEW1_025e,,,,,,,,,,,,,
,Classic,加基森拍卖师,每当你施放一个法术，抽一张牌。,Minion,EX1_095,True,Neutral,Matt Dixon,Rare,4,6,4,他曾经经营过黑市的拍卖行，但是那里的暴力冲突太多了，他只好被迫离开。,,,,,
Battlecry,Classic,加拉克苏斯大王,<b>战吼：</b>消灭你的英雄，并用加拉克苏斯大王替换他。,Minion,EX1_323,True,,Alex Horley Orlandelli,Legendary,3,9,15,“渺小的侏儒！你们的傲慢将会招致灭亡！”,Warlock,Demon,,True,
,Classic,加拉克苏斯大王,,Hero,EX1_323h,,Neutral,,Legendary,0,0,15,,Warlock,Demon,,,
Combo,Classic,劫持者,<b>连击：</b>将一个随从移回其拥有者的手牌。,Minion,NEW1_005,True,,Dave Allsop,Epic,5,6,3,他只是希望有人能看看他在假期里拍摄的照片而已。,Rogue,,,,
,Classic,升级,+1攻击力和+1耐久度。,Enchantment,EX1_409e,,,,,,,,,Warrior,,,,
,Classic,升级,耐久度增加。,Enchantment,EX1_536e,,,,,,,,,Hunter,,,,
,Classic,升级！,如果你装备一把武器，使它获得+1/+1。否则，装备一把1/3的武器。,Spell,EX1_409,True,Neutral,Matt Cavotta,Rare,,1,,50点DKP玩一下，值！,Warrior,,,,
,Classic,升级！,攻击力和生命值增加。,Enchantment,EX1_044e,,,,,,,,,,,,,
,Classic,半神的恩赐,使你的所有其他随从获得+2/+2。,Spell,EX1_573a,,Neutral,,,,,,,Druid,,,,
,Classic,半神的恩赐,+2/+2。,Enchantment,EX1_573ae,,Neutral,,,,,,,Druid,,,,
,Classic,南海船工,当你装备一把武器时，该随从获得<b>冲锋</b>。,Minion,CS2_146,True,Alliance,Dan Brereton,Common,2,1,1,海盗们都非常热衷于这项新的时尚活动：“趴甲板”。,,Pirate,,,
Aura,Classic,南海船长,你的其他海盗获得+1/+1。,Minion,NEW1_027,True,,Ken Steacy,Epic,3,3,3,当他掠夺到足够的财宝之后，他一定要去订做一顶帅气的船长帽子。他是帽子控。,,Pirate,,,
,Classic,原始的能量！,属性值提高。,Enchantment,EX1_274e,,,,,,,,,Mage,,,,
,Classic,叉状闪电,对两个随机敌方随从造成$2点伤害，<b>过载：</b>（2）,Spell,EX1_251,True,Neutral,Ralph Horsley,Common,,1,,配上勺状闪电和刀状闪电，你就集齐整套闪电餐具了。,Shaman,,,,
,Classic,受祝福的勇士,使一个随从的攻击力翻倍。,Spell,EX1_355,True,,Tyler Walpole,Rare,,5,,”攻击翻倍，快乐加倍！“,Paladin,,,,
,Classic,受祝福的勇士,该随从的攻击力翻倍。,Enchantment,EX1_355e,,,,,,,,,Paladin,,,,
,Classic,古老的教诲,抽两张牌。,Spell,NEW1_008a,,,,,,,,,Druid,,,,
,Classic,古老的秘密,恢复5点生命值。,Spell,NEW1_008b,,,,,,,,,Druid,,,,
Battlecry,Classic,叫嚣的中士,<b>战吼：</b>本回合中，使一个随从获得+2攻击力。,Minion,CS2_188,True,Alliance,Luca Zontini,Common,2,1,1,“把我加入你的套牌，白痴！”,,,,,
Aura,Classic,召唤传送门,你的随从牌的法力值消耗减少（2）点，但不能少于（1）点。,Minion,EX1_315,True,Neutral,Tyler Walpole,Common,0,4,4,不能少于1点！你在想什么坏主意呢！,Warlock,,,,
,Classic,召唤猎豹,召唤一个3/2的猎豹。,Spell,EX1_160a,,Neutral,,,,,,,Druid,,,,
,Classic,吃饱了,+2/+2。一个鱼人就吃饱了。,Enchantment,NEW1_017e,,,,,,,,,,,,,
,Classic,吞噬,属性值提高。,Enchantment,EX1_304e,,,,,,,,,Warlock,,,,
,Classic,呀！,南海船长使其获得+1/+1,Enchantment,NEW1_027e,,,,,,,,,,,,,
,Classic,命令怒吼,在本回合中，你的随从的生命值无法被降到1点以下。抽一张牌。,Spell,NEW1_036,True,,Wayne Reynolds,Rare,,2,,“大声吼出来！把你的怒气吼出来！”——对训练中的战士的建议,Warrior,,,,
OneTurnEffect,Classic,命令怒吼,在本回合中，生命值无法被降到1点以下。,Enchantment,NEW1_036e,,,,,,,,,Warrior,,,,
OneTurnEffect,Classic,命令怒吼,在本回合中，你的随从的生命值无法被降到1点以下。,Enchantment,NEW1_036e2,,,,,,,,,Warrior,,,,
,Classic,咘啦咯咯啦！,攻击力增加。,Enchantment,EX1_509e,,,,,,,,,,,,,
Battlecry,Classic,哈里森·琼斯,<b>战吼：</b>摧毁对手的武器，并抽数量等同于其耐久度的牌。,Minion,EX1_558,True,Neutral,Matt Dixon,Legendary,5,5,4,“这东西应该陈列在探险者大厅里！”,,,,True,
OneTurnEffect,Classic,嗜魔增幅,魔瘾者的攻击力增加。,Enchantment,EX1_055o,,,,,,,,,,,,,
,Classic,噩梦,该随从获得+5/+5，但它马上会被消灭。,Enchantment,DREAM_05e,,,,,,,,,,,,,
,Classic,噩梦,使一个随从获得+5/+5，在你的下一个回合开始时，消灭该随从。,Spell,DREAM_05,,,,,,0,,,Dream,,,,
Taunt,Classic,土元素,<b>嘲讽</b>，<b>过载：</b>（3）,Minion,EX1_250,True,Neutral,Dan Scott,Epic,7,5,8,硬如磐石，坚不可破。,Shaman,,,,
,Classic,土狼,,Minion,EX1_534t,,,Andrew Robinson,Rare,2,2,2,,Hunter,Beast,,,
,Classic,圣光护卫者,每当一个角色获得治疗，便获得+2攻击力。,Minion,EX1_001,True,,Erik Ko,Rare,1,1,2,她善于从别人的希望之中获取力量。,,,,,
Battlecry,Classic,圣殿执行者,<b>战吼：</b>使一个友方随从获得+3生命值。,Minion,EX1_623,True,,Daren Bader,Common,6,6,6,他在每周四的夜晚都会悄然出现在猪和哨声旅店担当保镖。,Priest,,,,
,Classic,圣疗术,恢复#8点生命值，抽三张牌。,Spell,EX1_354,True,Neutral,Raymond Swanland,Epic,,8,,抓住最后一根救命稻草。,Paladin,,,,
,Classic,地狱火,,Minion,EX1_tk34,,Neutral,,Common,6,6,6,,Warlock,Demon,,,
,Classic,地狱火！,<b>英雄技能</b>召唤一个6/6的地狱火。,Hero Power,EX1_tk33,,Neutral,,,,2,,,Warlock,,,,
,Classic,埃辛诺斯之焰,,Minion,EX1_614t,,,,,2,1,1,,,,,,
,Classic,塞纳留斯,<b>抉择：</b>使你的所有其他随从获得+2/+2；或者召唤两个2/2并具有<b>嘲讽</b>的树人。,Minion,EX1_573,True,Neutral,Alex Horley Orlandelli,Legendary,5,9,8,“当它们还是种子的时候，我便认识它们了……”,Druid,,,True,
ImmuneToSpellpower,Classic,复仇之怒,造成$8点伤害，随机分配给敌方角色。,Spell,EX1_384,True,Neutral,Alex Garner,Epic,,6,,打！打！打！打！打！打！打！打！,Paladin,,,,
Battlecry,Classic,大地之环先知,<b>战吼：</b>恢复3点生命值。,Minion,CS2_117,True,,Alex Horley Orlandelli,Common,3,3,3,他确实能看得很远，他才不像那些肮脏的海盗们需要用望远镜。,,,,,
Silence,Classic,大地震击,<b>沉默</b>一个随从，然后对其造成$1点伤害。,Spell,EX1_245,True,Neutral,Kevin Chin,Common,,1,,大地震击？确切地说，就是“艾泽拉斯震击”吗？,Shaman,,,,
,Classic,大法师安东尼达斯,每当你施放一个法术，将一张“火球术”法术牌置入你的手牌。,Minion,EX1_559,True,Neutral,Wayne Reynolds,Legendary,5,7,7,肯瑞托的首席法师，达拉然最伟大的子民，安东尼达斯在被巫妖王阿尔萨斯杀死之前，曾是吉安娜的导师。,Mage,,,True,
Battlecry,Classic,奥妮克希亚,<b>战吼：</b>召唤数个1/1的雏龙，直到你的随从数量达到上限。,Minion,EX1_562,True,Neutral,Dany Orizio,Legendary,8,9,8,伪装成女伯爵卡特拉娜·普瑞斯托，奥妮克希亚长期控制着暴风城议会。你可能会想，一定是她的大翅膀和鳞片让她漏出了马脚。,,Dragon,,True,
Battlecry,Classic,奥尔多卫士,<b>战吼：</b>使一个敌方随从的攻击力变为1。,Minion,EX1_382,True,Neutral,Dany Orizio,Rare,3,3,3,奥尔多痛恨两样东西：占星者和湿鳞蜥蜴的眼睛。,Paladin,,,,
Battlecry|Charge,Classic,奥术傀儡,<b>冲锋</b>，<b>战吼：</b>使你的对手获得一个法力水晶。,Minion,EX1_089,True,Neutral,Sedhayu Ardian,Rare,4,3,2,如果家里有一台奥术傀儡的话，一定能够使房间蓬荜生辉，格调提高，而且，它们还能成为不错的谈资。,,,,,
,Classic,奥秘守护者,每当有一张<b>奥秘</b>牌被使用时，便获得+1/+1。,Minion,EX1_080,True,Alliance,Gonzalo Ordonez,Rare,1,1,2,她答应你不会告诉任何人昨晚你和那个人做了什么事情。,,,,,
Aura,Classic,奥金尼灵魂祭司,你的恢复生命值的牌和技能改为造成等量的伤害。,Minion,EX1_591,True,Neutral,Doug Alexander,Rare,3,4,5,奥金尼的人们知道末日即将来临，只是不确定它到来的时间。,Priest,,,,
,Classic,姆若咯啦啊咯啦！,鱼人领军使其他鱼人获得+2/+1。,Enchantment,EX1_507e,,,,,,,,,,,,,
,Classic,守护奥秘,属性值提高。,Enchantment,EX1_080o,,,,,,,,,,,,,
,Classic,实验！,疯狂的炼金师使其攻击力和生命值互换。,Enchantment,EX1_059e,,,,,,,,,,,,,
Battlecry,Classic,寒光先知,<b>战吼：</b>使所有其他鱼人获得+2生命值。,Minion,EX1_103,True,Neutral,Arthur Gimaldinov,Rare,2,3,3,寒光鱼人终年居住于无底海源最黑暗的洞穴之中。所以，是的，你到哪儿都别想摆脱鱼人。,,Murloc,,,
Battlecry,Classic,寒光智者,<b>战吼：</b>每个玩家抽两张牌。,Minion,EX1_050,True,Neutral,Steve Prescott,Rare,2,3,2,他们能够预见未来。在未来的时间里，双方玩家都将抽更多的牌。真准！,,Murloc,,,
OneTurnEffect,Classic,寒冰屏障,在本回合中，你的英雄获得<b>免疫</b>。,Enchantment,EX1_295o,,,,,,,,,Mage,,,,
Secret,Classic,寒冰屏障,<b>奥秘：</b>当你的英雄将要承受致命伤害时，防止这些伤害，并使其在本回合中获得<b>免疫</b>。,Spell,EX1_295,True,Neutral,Carl Frank,Epic,,3,,法师们都很奇怪，为什么把一样东西塞进冰箱需要三个步骤？,Mage,,,,
Secret,Classic,寒冰护体,<b>奥秘：</b>当你的英雄受到攻击时，获得8点护甲值。,Spell,EX1_289,True,Neutral,Alex Garner,Common,,3,,这只是这个技能的第一级，第二级会是...巧克力牛奶护体。,Mage,,,,
Aura,Classic,小个子召唤师,你每个回合使用的第一张随从牌的法力值消耗减少（1）点。,Minion,EX1_076,True,Alliance,Ron Spears,Rare,2,2,2,大个子召唤师就是由她召唤出来的。,,,,,
,Classic,小精灵,,Minion,CS2_231,True,Neutral,Malcolm Davis,Common,1,0,1,如果你用足够多的小精灵攻击艾瑞达领主的话，他就会爆炸。但这是为什么呢？,,,,,
,Classic,小鬼,,Minion,EX1_598,,Neutral,,Rare,1,1,1,,,Demon,,,
,Classic,小鬼召唤师,在你的回合结束时，对该随从造成1点伤害，并召唤一个1/1的小鬼。,Minion,EX1_597,True,Neutral,Mark Gibbons,Rare,1,3,5,如果她能让这些小鬼不再咬她的话，她会更加享受这份工作的。,,,,,
Windfury,Classic,尘魔,<b>风怒</b>，<b>过载：</b>（2）,Minion,EX1_243,True,Neutral,Raymond Swanland,Common,3,1,1,西部荒野满是尘魔。还有秃鹰。还有失控的傀儡。还有海盗。为什么谁都喜欢住在这地方？,Shaman,,,,
,Classic,山岭巨人,你每有一张其他手牌，该牌的法力值消耗便减少（1）点。,Minion,EX1_105,True,Neutral,Samwise,Epic,8,12,8,他的妈妈说，他只是骨架比较大而已。,,,,,
Secret,Classic,崇高牺牲,<b>奥秘：</b>当一个敌人攻击时，召唤一个2/1的防御者，并使其成为攻击的目标。,Spell,EX1_130,True,Neutral,Zoltan & Gabor,Common,,1,,我们永远不会忘记你，“守护者！”,Paladin,,,,
Battlecry,Classic,工匠大师欧沃斯巴克,<b>战吼：</b>使另一个随机随从变形成为一个5/5的恐龙或一个1/1的松鼠。,Minion,EX1_083,True,Alliance,Tom Baxa,Legendary,3,3,3,在09年度的铁炉堡松鼠大暴走事件之后，工匠大师欧沃斯巴克差点丢掉了他的工匠执照。,,,,True,
Aura,Classic,巫师学徒,你的法术的法力值消耗减少（1）点。,Minion,EX1_608,True,Neutral,Alex Horley Orlandelli,Common,3,2,2,学徒们就是用来到处使唤的。“给我做点魔法面包，再来杯咖啡！我要魔法咖啡！”,Mage,,,,
Deathrattle,Classic,希尔瓦娜斯·风行者,<b>亡语：</b>控制一个随机敌方随从。,Minion,EX1_016,True,,Glenn Rane,Legendary,5,6,5,没有人比女王更渴望真正地死去。,,,,True,
Poisonous,Classic,帝王眼镜蛇,消灭任何受到该随从伤害的随从。,Minion,EX1_170,True,Neutral,Lars Grant-West,Rare,2,3,3,索拉查盆地栖息着很多非常恐怖的生物。如果你一定要去那里，带上杀虫剂，还要穿上板甲。,,Beast,,,
,Classic,年轻的女祭司,在你的回合结束时，使另一个随机友方随从获得+1生命值。,Minion,EX1_004,True,,Vance Kovacs,Rare,2,1,1,她已经等不及想要学习2级的真言术：韧了。,,,,,
Battlecry,Classic,年轻的酒仙,<b>战吼：</b>使一个友方随从从战场上移回你的手牌。,Minion,EX1_049,True,Alliance,Wei Wang,Common,3,2,2,他对酿酒的热忱并不意味着他有出色的酿酒技术。别碰魔古烈酒！,,,,,
Battlecry,Classic,年迈的法师,<b>战吼：</b>使相邻的随从获得<b>法术伤害+1</b>。,Minion,EX1_584,True,Neutral,Howard Lyon,Rare,2,4,5,有时候他会很健忘，甚至迷迷糊糊地走进别人的游戏中去。,,,,,
Battlecry,Classic,年迈的酒仙,<b>战吼：</b>使一个友方随从从战场上移回你的手牌。,Minion,EX1_057,True,Alliance,Bernie Kang,Common,5,4,4,大部分熊猫人都喜欢去他的酒坊喝酒，然后在好几天以后才能记起回家的路。,,,,,
Windfury,Classic,幼龙鹰,<b>风怒</b>,Minion,CS2_169,True,Horde,Greg Hildebrandt,Common,1,1,1,无论是战士还是诗人，都能从美丽的龙鹰身上获取战斗或是写作的灵感。,,Beast,,,
Taunt,Classic,幽灵狼,<b>嘲讽</b>,Minion,EX1_tk11,,Neutral,,Rare,2,2,3,,Shaman,,,,
,Classic,心灵之火,使一个随从的攻击力等同于其生命值。,Spell,CS1_129,True,Neutral,Steve Prescott,Common,,1,,“但是，真正的胜利，孩子——是鼓舞你的子民心中的斗志。”——泰瑞纳斯·米奈希尔,Priest,,,,
,Classic,心灵之火,该随从的攻击力等同于其生命值。,Enchantment,CS1_129e,,,,,,,,,Priest,,,,
,Classic,心灵尖刺,<b>英雄技能</b>造成2点伤害。,Hero Power,EX1_625t,,,,,,2,,,Priest,,,,
,Classic,心灵碎裂,<b>英雄技能</b>造成3点伤害。,Hero Power,EX1_625t2,,,,,,2,,,Priest,,,,
Secret,Classic,忏悔,<b>奥秘：</b>当你的对手召唤一个随从，使该随从的生命值降为1。,Spell,EX1_379,True,Neutral,Gonzalo Ordonez,Common,,1,,忏悔总会在湮灭前一刻到来。多么奥妙。,Paladin,,,,
,Classic,忏悔,生命值降为1。,Enchantment,EX1_379e,,,,,,,,,Paladin,,,,
,Classic,怒火中烧,+2攻击力。,Enchantment,EX1_607e,,,,,,,,,Warrior,,,,
,Classic,怒火中烧,对一个随从造成$1点伤害，该随从获得+2攻击力。,Spell,EX1_607,True,Neutral,Slawomir Maniak,Common,,0,,吃得苦中苦，方为人上人。,Warrior,,,,
,Classic,思维窃取,复制对手的牌库中的两张牌，并将其置入你的手牌。,Spell,EX1_339,True,Neutral,Alex Garner,Common,,3,,“人类喜欢说‘对牛弹琴’来形容白费功夫，哼，我们喜欢说‘对兽人使用思维窃取’！”——牛头人长者,Priest,,,,
Taunt,Classic,恐怖海盗,<b>嘲讽</b>，你的武器每有1点攻击力，该牌的法力值消耗便减少（1）点。,Minion,NEW1_022,True,,Trent Kaniuga,Common,3,4,3,“呀”在海盗的行话中代表“你好啊，有钱人。”,,Pirate,,,
AdjacentBuff|Aura,Classic,恐狼前锋,相邻的随从获得+1攻击力。,Minion,EX1_162,True,Neutral,John Dickenson,Common,2,2,2,这支球队没有后卫。,,Beast,,,
,Classic,恩师的教诲,召唤两个2/2并具有<b>嘲讽</b>的树人。,Spell,EX1_573b,,Neutral,,,,,,,Druid,,,,
Enrage,Classic,恶毒铁匠,<b>激怒：</b>你的武器获得+2攻击力。,Minion,CS2_221,True,Horde,Justin Sweet,Common,4,5,6,她会为你代工一把好武器，但是你必须给她5个铁锭，3个土之微粒，以及她上一个顾客的头皮。,,,,,
,Classic,恶魔之火,该恶魔获得+2/+2。,Enchantment,EX1_596e,,Neutral,,Common,,0,,,Warlock,,,,
,Classic,恶魔之火,对一个随从造成$2点伤害，如果该随从是友方恶魔，则改为使其获得+2/+2。,Spell,EX1_596,True,Neutral,Ben Wootten,Common,,2,,恶魔之火和普通火焰没什么区别，除了它从来不会熄灭...救命！,Warlock,,,,
Battlecry|Taunt,Classic,恶魔卫士,<b>嘲讽</b>，<b>战吼：</b>摧毁你的一个法力水晶。,Minion,EX1_301,True,Neutral,John Polidora,Rare,3,3,5,没错，他会为你而战，但并非心甘情愿。,Warlock,Demon,,,
,Classic,感知恶魔,从你的牌库中随机将2张恶魔牌置入你的手牌。,Spell,EX1_317,True,Neutral,Raven Mimura,Common,,3,,一般说来，恶魔总是比较容易辨认的，不需要用一个法术来感知它们。,Warlock,,,,
,Classic,愤怒,对一个随从造成$1点伤害，抽一张牌。,Spell,EX1_154b,,Neutral,,,,,,,Druid,,,,
,Classic,愤怒,<b>抉择</b>：对一个随从造成$3点伤害；或者造成$1点伤害并抽一张牌。,Spell,EX1_154,True,Neutral,Raymond Swanland,Common,,2,,棘齿城酒馆里的人们纷纷表示，这张牌太强了，应该是传说级别的。,Druid,,,,
,Classic,愤怒,对一个随从造成$3点伤害。,Spell,EX1_154a,,Neutral,,,,,,,Druid,,,,
Enrage,Classic,愤怒的小鸡,<b>激怒：</b>+5攻击力。,Minion,EX1_009,True,,Mike Sass,Rare,1,1,1,没有什么野兽比一只彻底发疯的小鸡更加吓人（或者更加可笑）的了。,,Beast,,,
Deathrattle|Taunt,Classic,憎恶,<b>嘲讽</b>，<b>亡语：</b>对所有角色造成2点伤害。,Minion,EX1_097,True,Neutral,Alex Horley Orlandelli,Rare,4,5,4,憎恶喜欢享用新鲜的肉，以及在海滩上漫步。,,,,,
,Classic,战争古树,<b>抉择</b>：+5攻击力；或者+5生命值并具有<b>嘲讽</b>。,Minion,EX1_178,True,Neutral,Sean O’Daniels,Epic,5,7,5,年轻的暗夜精灵们喜欢一种叫做“谁能让战争古树站起来”的游戏。如果在它起身的时候你被踩死了，你还是输了。,Druid,,,,
Deathrattle,Classic,战利品贮藏者,<b>亡语：</b>抽一张牌。,Minion,EX1_096,True,Neutral,Jim Nelson,Common,2,2,1,全都点需求。,,,,,
